Question Report,,,,,
50,How do I get the Zoom link?,Kelly Weaver,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
51,test,Alex Leene,'-,test,Alex Leene
52,test,Steven Persson,'-,test,Steven Persson
53,Good Morning. ,LYNN JONES,'-,Good Morning. ,LYNN JONES
54,Test,Steven Bennett,'-,Test,Steven Bennett
55,test,Christopher Booher,'-,test,Christopher Booher
56,Test,Morgan Carmichael,'-,Test,Morgan Carmichael
57,Good Morning,Susan Lilly,'-,Good Morning,Susan Lilly
58,Good morning.,Thomas Noel,'-,Good morning.,Thomas Noel
59,can u see my name,Jamaal Brice,'-,can u see my name,Jamaal Brice
60,test,LILA POINGUE,'-,test,LILA POINGUE
61,Test,Jose Magana,'-,Test,Jose Magana
62,Good Morning,Muhammad Nadim Chaudhry,'-,Good Morning,Muhammad Nadim Chaudhry
63,Test,Kendall Bridgewater,'-,Test,Kendall Bridgewater
64,Caan you see my name? Mike Tierney,MICHAEL TIERNEY,'-,Caan you see my name? Mike Tierney,MICHAEL TIERNEY
65,Test,LALITHA KANCHINADAM,'-,Test,LALITHA KANCHINADAM
66,Test,AMANDA FENIMORE,'-,Test,AMANDA FENIMORE
67,test,Chris Rakoski,'-,test,Chris Rakoski
68,test,Nathan Hanna,'-,test,Nathan Hanna
69,Test,Jayde Langley,'-,Test,Jayde Langley
70,"Good morning, Zoom automatically logged me in, so looks like others are testing to verify name, like me!",Nicholas Barkley,'-,"Good morning, Zoom automatically logged me in, so looks like others are testing to verify name, like me!",Nicholas Barkley
71,test,Glenda Schaffer,'-,test,Glenda Schaffer
72,Test,Nicholas Aufderheide,'-,Test,Nicholas Aufderheide
73,test,Nicholas Anderson,'-,test,Nicholas Anderson
74,.,Chris Loken,'-,.,Chris Loken
75,Test,Marlon Shure,'-,Test,Marlon Shure
76,Test,Jim Castillo,'-,Test,Jim Castillo
77,Michele Borel,Michele Borel,'-,Michele Borel,Michele Borel
78,test,Marilyn Gomez,'-,test,Marilyn Gomez
79,Test,Kylie Hulgan,'-,Test,Kylie Hulgan
80,Good Morning,Sarah DeShane,'-,Good Morning,Sarah DeShane
81,test,Austin Overacre - PMP,'-,test,Austin Overacre - PMP
82,Test,Michael Gibb,'-,Test,Michael Gibb
83,Test,Derrick Cole,'-,Test,Derrick Cole
84,Test,Brandon Sawyer,'-,Test,Brandon Sawyer
85,Test,Kathy Jimenez,'-,Test,Kathy Jimenez
86,Test,Kevin Willis,'-,Test,Kevin Willis
87,test,Lisa Aarhus,'-,,
88,good morning,Jaime Cardona,'-,good morning,Jaime Cardona
89,Good morning.,John Ludington,'-,Good morning.,John Ludington
90,test,David Bridges,'-,test,David Bridges
91,Good Morning,matthew robinson,'-,Good Morning,matthew robinson
92,Good morning,Jesus Gaeta,'-,Good morning,Jesus Gaeta
93,Good morning,Leigh Mason,'-,Good morning,Leigh Mason
94,Good Morning,Brittany Hudson,'-,Good Morning,Brittany Hudson
95,test,John Gaines,'-,test,John Gaines
96,tets,Andres Cardona,'-,tets,Andres Cardona
97,Hello!,Andrew Salloum,'-,Hello!,Andrew Salloum
98,test,John Williams,'-,test,John Williams
99,tst,Miguel Mendez,'-,tst,Miguel Mendez
100,Test,Chris Hilliard,'-,Test,Chris Hilliard
101,morning,Kevin Wikstrom,'-,morning,Kevin Wikstrom
102,Test,Wendy Campau,'-,Test,Wendy Campau
103,Test,Ethan Groce,'-,Test,Ethan Groce
104,Hello,Shannon Walls,'-,Hello,Shannon Walls
105,Good morning,Jon Alvarez,'-,Good morning,Jon Alvarez
106,Test,Keith Hartman,'-,Test,Keith Hartman
107,My name is...,Joshua Gunn,'-,My name is...,Joshua Gunn
108,Test,David Thomas,'-,Test,David Thomas
109,test,Alex Park,'-,test,Alex Park
110,test,David Miranda,'-,test,David Miranda
111,test,Benjamin Zvirzdin,'-,test,Benjamin Zvirzdin
112,Do we need zoom open too? ,Derrick Cole,'-,Do we need zoom open too? ,Derrick Cole
112,Do we need zoom open too? ,Derrick Cole,'-,"You don't have to. You can use it as a backup.

https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
113,Does anyone have the zoom link? I am not liking this percipio setup on my Mac ,John Erwood,'-,Does anyone have the zoom link? I am not liking this percipio setup on my Mac ,John Erwood
113,Does anyone have the zoom link? I am not liking this percipio setup on my Mac ,John Erwood,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
114,test,Matthew Bleicher,'-,test,Matthew Bleicher
115,te,MALCOLM JAMISON,'-,te,MALCOLM JAMISON
116,test,Kelly Pellettier,'-,test,Kelly Pellettier
117,Test,Ana Mesa,'-,Test,Ana Mesa
118,Test,piotr.jablonski1@kyndryl.com,'-,Test,piotr.jablonski1@kyndryl.com
119,Test,ROBERT JOHNSON,'-,Test,ROBERT JOHNSON
120,checking my name,Moses Odeleye,'-,checking my name,Moses Odeleye
121,test,Malik Hopkins,'-,test,Malik Hopkins
122,"Hello, Can you see my name listed ? ",John Nystrom,'-,"Hello, Can you see my name listed ? ",John Nystrom
123,Test,George Fitzgerald,'-,Test,George Fitzgerald
124,Test,Eric Mattison,'-,Test,Eric Mattison
125,test,Helen Watson,'-,test,Helen Watson
126,Good morning from Hawaii everyone!,Joseph Drummond,'-,Good morning from Hawaii everyone!,Joseph Drummond
127,Test,Christopher Daches,'-,Test,Christopher Daches
128,Test,Carlos Enrique Suarez Aponte,'-,Test,Carlos Enrique Suarez Aponte
129,Good Morning ,Nischal Maheshwari,'-,Good Morning ,Nischal Maheshwari
130,thanks!,Maria Cristina Miyasaki,'-,thanks!,Maria Cristina Miyasaki
131,Thank you,Jeremy Leiby,'-,Thank you,Jeremy Leiby
132,Test,Stephanie Ciabotti,'-,Test,Stephanie Ciabotti
133,test,Benjamin Nortz,'-,test,Benjamin Nortz
134,Good Morning,Alex Sanchez,'-,Good Morning,Alex Sanchez
135,Test,Sam Rostami,'-,Test,Sam Rostami
136,test,Jeff DelSordo,'-,test,Jeff DelSordo
137,test,Catherine Fredrickson,'-,test,Catherine Fredrickson
138,Test,Charles Dyer,'-,Test,Charles Dyer
139,test,Justin Tevebaugh,'-,test,Justin Tevebaugh
140,Good Morning! Name check!,Jay Patel,'-,Good Morning! Name check!,Jay Patel
141,test,Jenny H,'-,test,Jenny H
142,test,Benjamin Guardenier,'-,test,Benjamin Guardenier
143,test,Melissa Little,'-,test,Melissa Little
144,test,Gabriel Lopez,'-,test,Gabriel Lopez
145,test,Ishmael Johnson,'-,test,Ishmael Johnson
146,Test,Christopher Boyd,'-,Test,Christopher Boyd
147,Test,Bridgette Longoria,'-,Test,Bridgette Longoria
148,test,william farmer,'-,test,william farmer
149,Good morning,An Nguyen,'-,Good morning,An Nguyen
150,test,Michael Noullet,'-,test,Michael Noullet
151,test,Samuel Yudin,'-,test,Samuel Yudin
152,ok ,Nivedita Sinha,'-,ok ,Nivedita Sinha
153,Gm,Scott Glassner,'-,Gm,Scott Glassner
154,test,Daniel Patterson,'-,test,Daniel Patterson
155,test,Saki Ryu,'-,test,Saki Ryu
156,Name check,Michael Karlowicz,'-,Name check,Michael Karlowicz
157,test,David Odell,'-,test,David Odell
158,test,Lance Koenig,'-,test,Lance Koenig
159,Test,Catie Donselar,'-,Test,Catie Donselar
160,Test,Chris Yoo,'-,Test,Chris Yoo
161,"Same, can anyone see my name? John Sikora. I wasnt given a option to put my name and I dont see where you all are going to see attendees names. thanks",John Sikora,'-,"Same, can anyone see my name? John Sikora. I wasnt given a option to put my name and I dont see where you all are going to see attendees names. thanks",John Sikora
162,Good Morning!,Sara Hart,'-,Good Morning!,Sara Hart
163,good morning,Ann Knefel,'-,good morning,Ann Knefel
164,test,Blessing Odeleye,'-,test,Blessing Odeleye
165,test,Robert Whitman,'-,test,Robert Whitman
166,"Is there actual ""talking"" right now on this live stream? My audio is connected, but I don't hear anything yet. ",Jennifer Mcintyre,'-,"Is there actual ""talking"" right now on this live stream? My audio is connected, but I don't hear anything yet. ",Jennifer Mcintyre
167,test,null,'-,test,null
168,Hello,Panos Papangelis,'-,Hello,Panos Papangelis
169,Name Check! :),David Wood,'-,Name Check! :),David Wood
170,Test,Michael Correnti,'-,Test,Michael Correnti
171,Good morning!,Chad Chasteen,'-,Good morning!,Chad Chasteen
172,Checking my name...,Kelly Sanders,'-,Checking my name...,Kelly Sanders
173,test,Dakota Brown,'-,test,Dakota Brown
174,Good Morning,Lucas Drenth,'-,Good Morning,Lucas Drenth
175,Do you guys hear music playing?,Joseph Belote,'-,Do you guys hear music playing?,Joseph Belote
176,good morning,Shannon Corey,'-,good morning,Shannon Corey
177,The chat appears to be disabled for attendees -- just FYI. Good morning!,Donaldson# Jessica,'-,The chat appears to be disabled for attendees -- just FYI. Good morning!,Donaldson# Jessica
178,"Good Morning, just doing a name check.",Austin Deckard,'-,"Good Morning, just doing a name check.",Austin Deckard
179,Good morning,Zach Wood,'-,Good morning,Zach Wood
180,Test,Michael Vyas,'-,Test,Michael Vyas
181,I do hear music,Halei Wright,'-,I do hear music,Halei Wright
182,test,Paul Marcelle,'-,test,Paul Marcelle
183,Test,Brandon Martin-Culet,'-,Test,Brandon Martin-Culet
184,Test.,Raymond Terrell,'-,Test.,Raymond Terrell
185,test,Arthur Sisson,'-,test,Arthur Sisson
186,test,Sean Stuart,'-,test,Sean Stuart
187,Test,Scott Sharrow,'-,Test,Scott Sharrow
188,Name Test,Michael Correnti,'-,Name Test,Michael Correnti
189,I am not able to see my name. I am logged in using percipio. ,Michaeline Petitfort,'-,I am not able to see my name. I am logged in using percipio. ,Michaeline Petitfort
190,good morning to all!!!,Jose Girot,'-,good morning to all!!!,Jose Girot
191,TEST,Ajay Dalal,'-,TEST,Ajay Dalal
192,check,Chris Yoo,'-,check,Chris Yoo
193,test,Emily Higgins,'-,test,Emily Higgins
194,Do we need to turn on cameras?,Kathy Jimenez,'-,Do we need to turn on cameras?,Kathy Jimenez
195,is there a dial in? ,George Watkins,'-,is there a dial in? ,George Watkins
196,Test,Navya Doddipatla,'-,Test,Navya Doddipatla
197,test,Trevor WHINCUP,'-,test,Trevor WHINCUP
198,test,Megan Johnson,'-,test,Megan Johnson
199,test,David Baez,'-,test,David Baez
200,Good morning.,Anne Eisert,'-,Good morning.,Anne Eisert
201,Test,Charles Basham,'-,Test,Charles Basham
202,test,Candace Tucker,'-,test,Candace Tucker
203,test,David Stevens,'-,test,David Stevens
204,test,Frederick Polak,'-,test,Frederick Polak
205,Test,PETER SIMUNOVICH,'-,Test,PETER SIMUNOVICH
206,test,Terrence Packer,'-,test,Terrence Packer
207,Good morning,Jonathan Flores,'-,Good morning,Jonathan Flores
208,"Morning, can you see my name?",Desiree Martin,'-,"Morning, can you see my name?",Desiree Martin
209,How do I check to see if my name is displ,Chauncey Dixon,'-,How do I check to see if my name is displ,Chauncey Dixon
209,How do I check to see if my name is displ,Chauncey Dixon,'-,It's based on how you joined. Check your join method,Carl Mullin
210,"Good morning, will these sessions be recorded? ",Tiffany Peltier,'-,"Good morning, will these sessions be recorded? ",Tiffany Peltier
211,Good Morning,Richard Pina,'-,Good Morning,Richard Pina
212,"Does the music cut out for anyone else, wondering if its my connection?",Stephanie Ciabotti,'-,"Does the music cut out for anyone else, wondering if its my connection?",Stephanie Ciabotti
213,how do we switch to zoom?,Delita Shields,'-,how do we switch to zoom?,Delita Shields
213,how do we switch to zoom?,Delita Shields,'-,"Please use as a backup.

https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
214,test,Nina Santucci,'-,test,Nina Santucci
215,Is there a Zoom link?,Devon Showell,'-,Is there a Zoom link?,Devon Showell
215,Is there a Zoom link?,Devon Showell,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
216,Test,Justin Reeves,'-,Test,Justin Reeves
217,Test,SHANE SHADWICK,'-,Test,SHANE SHADWICK
218,test,Andrew Seeger,'-,test,Andrew Seeger
219,I cannot hear anything,Zach Wood,'-,I cannot hear anything,Zach Wood
219,I cannot hear anything,Zach Wood,'-,"Try refreshing your browser. If that does not work, you can try connecting to Zoom directly: 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
220,Hopefully he will cover how Percipio users can use Zoom! ,Monica Troutman,'-,Hopefully he will cover how Percipio users can use Zoom! ,Monica Troutman
221,"Hi,  can anyone see my name?",Poojaa Arulmani,'-,"Hi,  can anyone see my name?",Poojaa Arulmani
222,test,Gerard Dindial,'-,test,Gerard Dindial
223,Can we get the zoom connection info?,Robert Colter,'-,Can we get the zoom connection info?,Robert Colter
223,Can we get the zoom connection info?,Robert Colter,'-,"Zoom Link: 
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Webinar ID: 938 5686 0131
Passcode: 424428",Eian Clair
224,Test,Jere' Odum,'-,Test,Jere' Odum
225,Test,Donald Ward,'-,Test,Donald Ward
226,Hello Everyone,Michael Opatola,'-,Hello Everyone,Michael Opatola
227,need to join on zoom redirecting me to browser,Navdeep Ahuja,'-,need to join on zoom redirecting me to browser,Navdeep Ahuja
227,need to join on zoom redirecting me to browser,Navdeep Ahuja,'-,"Zoom Link: 
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Webinar ID: 938 5686 0131
Passcode: 424428",Eian Clair
228,Good morning to all!!,Jose Girot,'-,Good morning to all!!,Jose Girot
229,This is Sumoha Min. Checking in,SUMOHA MIN,'-,This is Sumoha Min. Checking in,SUMOHA MIN
230,Good Morning.  I can't hear anything as well.,Shelly Mimms,'-,Good Morning.  I can't hear anything as well.,Shelly Mimms
231,TEST,Joseph Santos,'-,,
232,Name check :-),MiChele Starling,'-,Name check :-),MiChele Starling
233,I cant hear anything,Jason Ronsse,'-,I cant hear anything,Jason Ronsse
234,test,James Segrave,'-,test,James Segrave
235,Good morning,Monica Smith,'-,Good morning,Monica Smith
236,Thank you ,Delita Shields,'-,Thank you ,Delita Shields
237,Hello Everyone!,Rohit Balasaheb Hande,'-,Hello Everyone!,Rohit Balasaheb Hande
238,I still cant hear anything,Thomas Levi,'-,I still cant hear anything,Thomas Levi
239,Good morning,Hussein Al Awsaj,'-,Good morning,Hussein Al Awsaj
240,Melinda Riker checking in - Good morning! ,Melinda Riker,'-,Melinda Riker checking in - Good morning! ,Melinda Riker
241,Test,Desiree Martin,'-,Test,Desiree Martin
242,Name Check,Sean Rowe,'-,Name Check,Sean Rowe
243,Test,Ramana Verma Nadimpalli Revathi,'-,Test,Ramana Verma Nadimpalli Revathi
244,the link and pass code were posted in the other chat but its not allowing copy and paste of the link,Charles Hill,'-,the link and pass code were posted in the other chat but its not allowing copy and paste of the link,Charles Hill
244,the link and pass code were posted in the other chat but its not allowing copy and paste of the link,Charles Hill,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
245,name check,Daniel Cain,'-,name check,Daniel Cain
246,.,Stephen Maddox,'-,.,Stephen Maddox
247,name test,Lucas.Wells@kyndryl.com,'-,name test,Lucas.Wells@kyndryl.com
248,hi,Seo Hee Clingman,'-,hi,Seo Hee Clingman
249,name check,Casie Williams,'-,name check,Casie Williams
250,name check,Jonathan Troop,'-,name check,Jonathan Troop
251,test,Cornelius Roth,'-,test,Cornelius Roth
252,Good Morning,PRAVEEN CHALAMALASETTI,'-,Good Morning,PRAVEEN CHALAMALASETTI
253,Test,Jimmy Hernandez,'-,Test,Jimmy Hernandez
254,Is everyone else hearing music?,Emily Spencer - o2o Florida,'-,,
255,test,Jacqueline Cunningham,'-,test,Jacqueline Cunningham
256,GM all.,mythili venkatesh,'-,GM all.,mythili venkatesh
257,test,Chelsea Rodgers,'-,test,Chelsea Rodgers
258,yes,William Deshong,'-,yes,William Deshong
259,Test,Jamie Montgomery,'-,Test,Jamie Montgomery
260,test,Justin Stanford - PMP,'-,test,Justin Stanford - PMP
261,test,Ahmet Eren,'-,test,Ahmet Eren
262,test,Molly Parrish,'-,,
263,good morning,Peyman Dalirifar,'-,good morning,Peyman Dalirifar
264,hi,Vijayanand Maindkar,'-,hi,Vijayanand Maindkar
265,good evening,Andreas Konrad,'-,,
266,Good morning all!,Kristen Dickinson-Trane Technologies,'-,Good morning all!,Kristen Dickinson-Trane Technologies
267,we hear the music,Boris Ferrufino Salazar,'-,we hear the music,Boris Ferrufino Salazar
268,I hear nothing.,Shelly Mimms,'-,I hear nothing.,Shelly Mimms
269,good morning!,Roger Misso,'-,good morning!,Roger Misso
270,I joined through the Portal link but I'm getting no audio.  ,Chris Athanas,'-,I joined through the Portal link but I'm getting no audio.  ,Chris Athanas
271,test,Thomas Ward,'-,test,Thomas Ward
272,Test,Kurt Zepeda,'-,Test,Kurt Zepeda
273,Good Morning everybod,Melvin CARRERE,'-,Good Morning everybod,Melvin CARRERE
274,no audi,Juan Cando,'-,no audi,Juan Cando
274,no audi,Juan Cando,'-,Please check the post in the chat,Carl Mullin
275,Test,Kaylee Prince,'-,Test,Kaylee Prince
276,Audio is not working. Is there a direct Zoom link?,Daniel Ratner,'-,Audio is not working. Is there a direct Zoom link?,Daniel Ratner
276,Audio is not working. Is there a direct Zoom link?,Daniel Ratner,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
277,Unable to hear anything,Selman Kurtoglu,'-,Unable to hear anything,Selman Kurtoglu
278,testing,Krzysztof.Nowaczyk@kyndryl.com,'-,testing,Krzysztof.Nowaczyk@kyndryl.com
279,No Audio,Charles Basham,'-,No Audio,Charles Basham
280,test,Michael Alerding,'-,test,Michael Alerding
281,can we access these recording sessions later in Percipio?,Kishore Pula,'-,"Below is a link which can be used to access the session recordings for PMP ATP Bootcamp. Once on the GitHub page, download the excel by selecting the ‘Code’ button and then ‘Download ZIP’. 

In .zip folder you will find an Excel document which contains several worksheets, one for each Bootcamp cohort. The links and password to the recordings will be available in the worksheet. 

Links are updated on a daily basis, so revisit the link to download the updated Excel.
 
https://github.com/Skillsoft-Content/PMPReplay 
Password: pmpB00tcampReplay!",Eian Clair
282,I can't hear anything :(,Katherine Mack,'-,I can't hear anything :(,Katherine Mack
282,I can't hear anything :(,Katherine Mack,'-,"If you are having audio issues you may want to try reconnecting or you may want to try dialing in by phone for audio.

Or One tap mobile : 
    US: +16469313860,,93856860131#,,,,*424428#  or +16694449171,,93856860131#,,,,*424428# 
Or Telephone:
    Dial(for higher quality, dial a number based on your current location):
        US: +1 646 931 3860  or +1 669 444 9171  or +1 669 900 6833  or +1 689 278 1000  or +1 719 359 4580  or +1 253 205 0468  or +1 253 215 8782  or +1 301 715 8592  or +1 305 224 1968  or +1 309 205 3325  or +1 312 626 6799  or +1 346 248 7799  or +1 360 209 5623  or +1 386 347 5053  or +1 408 638 0968  or +1 507 473 4847  or +1 564 217 2000  or +1 646 876 9923 
Webinar ID: 938 5686 0131
Passcode: 424428
    International numbers available: https://skillsoftbootcamp.zoom.us/u/axFZR5Sug",Carl Mullin
283,Testing,Kaitlyn Eigenbrode,'-,Testing,Kaitlyn Eigenbrode
284,test,Steven Herrera,'-,test,Steven Herrera
285,test,Oge Nwandu-Vincent,'-,test,Oge Nwandu-Vincent
286,test,Liam McEneaney,'-,test,Liam McEneaney
287,Good Morning from Maryland!,Joeli Best,'-,Good Morning from Maryland!,Joeli Best
288,Name check Please ?,Akash Gaikwad,'-,Name check Please ?,Akash Gaikwad
289,Hello everyone,Kayla Usmani,'-,Hello everyone,Kayla Usmani
290,Good morning.,Edward Jennings,'-,Good morning.,Edward Jennings
291,Good Morning,Scott Landry,'-,Good Morning,Scott Landry
292,"Chat is disabled, so I am unable to put my name on the chat. I switched over from the in-browser session due to audio quality.",Donaldson# Jessica,'-,,
293,TEST,Alana Rezanovich,'-,TEST,Alana Rezanovich
294,Do we need to keep our camera on?,SUMOHA MIN,'-,Do we need to keep our camera on?,SUMOHA MIN
294,Do we need to keep our camera on?,SUMOHA MIN,'-,No,Carl Mullin
295,"Good morning, how do we ensure you have captured our name for attendance? ",Fatema Alharbi,'-,"Good morning, how do we ensure you have captured our name for attendance? ",Fatema Alharbi
295,"Good morning, how do we ensure you have captured our name for attendance? ",Fatema Alharbi,'-,"The Attendance Tracker document should be used by everyone and includes all the details on how to fill in your attendance with an example as well as when and where to upload it once you complete the Bootcamp. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info

If you are a Percipio user looking for the Attendance Tracker under Resources in Percipio it's called ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process"". Please scroll down the list under Resources.",Carl Mullin
296,I am not able to hear anything either. I have double checked all my audio settings for what I know I can control,Justin Reeves,'-,I am not able to hear anything either. I have double checked all my audio settings for what I know I can control,Justin Reeves
296,I am not able to hear anything either. I have double checked all my audio settings for what I know I can control,Justin Reeves,'-,"If you are having audio issues you may want to try reconnecting or you may want to try dialing in by phone for audio.

Or One tap mobile : 
    US: +16469313860,,93856860131#,,,,*424428#  or +16694449171,,93856860131#,,,,*424428# 
Or Telephone:
    Dial(for higher quality, dial a number based on your current location):
        US: +1 646 931 3860  or +1 669 444 9171  or +1 669 900 6833  or +1 689 278 1000  or +1 719 359 4580  or +1 253 205 0468  or +1 253 215 8782  or +1 301 715 8592  or +1 305 224 1968  or +1 309 205 3325  or +1 312 626 6799  or +1 346 248 7799  or +1 360 209 5623  or +1 386 347 5053  or +1 408 638 0968  or +1 507 473 4847  or +1 564 217 2000  or +1 646 876 9923 
Webinar ID: 938 5686 0131
Passcode: 424428
    International numbers available: https://skillsoftbootcamp.zoom.us/u/axFZR5Sug",Carl Mullin
297,test,Laura Flamini,'-,test,Laura Flamini
298,"Hello, I can't hear anything.",Quincy Darden,'-,"Hello, I can't hear anything.",Quincy Darden
298,"Hello, I can't hear anything.",Quincy Darden,'-,"If you are having audio issues you may want to try reconnecting or you may want to try dialing in by phone for audio.

Or One tap mobile : 
    US: +16469313860,,93856860131#,,,,*424428#  or +16694449171,,93856860131#,,,,*424428# 
Or Telephone:
    Dial(for higher quality, dial a number based on your current location):
        US: +1 646 931 3860  or +1 669 444 9171  or +1 669 900 6833  or +1 689 278 1000  or +1 719 359 4580  or +1 253 205 0468  or +1 253 215 8782  or +1 301 715 8592  or +1 305 224 1968  or +1 309 205 3325  or +1 312 626 6799  or +1 346 248 7799  or +1 360 209 5623  or +1 386 347 5053  or +1 408 638 0968  or +1 507 473 4847  or +1 564 217 2000  or +1 646 876 9923 
Webinar ID: 938 5686 0131
Passcode: 424428
    International numbers available: https://skillsoftbootcamp.zoom.us/u/axFZR5Sug",Carl Mullin
299,I can't hear anything either,Scott Constantine,'-,I can't hear anything either,Scott Constantine
300,Hi,Patricio Lagger,'-,Hi,Patricio Lagger
301,Hi,Hemaja Bayaneni,'-,,
302,Good Morning,Michael McComas# PMP,'-,Good Morning,Michael McComas# PMP
303,Test chat from Merlyn,Merlyn Magalona,'-,Test chat from Merlyn,Merlyn Magalona
304,Test,Andrew Townsend,'-,Test,Andrew Townsend
305,Good morning,Craig Horowitz,'-,Good morning,Craig Horowitz
306,Good morning,STACEY MORALES,'-,Good morning,STACEY MORALES
